drawSystemId,drawDate,gameType,n1,n2,n3,n4,n5,n6
7111,2024-10-29T21:00:00Z,Lotto,5,14,19,30,35,39
7110,2024-10-26T20:00:00Z,Lotto,13,18,32,34,36,39
7109,2024-10-24T20:00:00Z,Lotto,5,17,20,24,42,44
7108,2024-10-22T20:00:00Z,Lotto,12,17,20,22,24,44
7107,2024-10-19T20:00:00Z,Lotto,9,10,39,42,44,45
7106,2024-10-17T20:00:00Z,Lotto,7,22,38,40,45,48
7105,2024-10-15T20:00:00Z,Lotto,6,9,12,26,45,46
7104,2024-10-12T20:00:00Z,Lotto,5,10,13,20,21,28
7103,2024-10-10T20:00:00Z,Lotto,2,6,17,36,38,41
7102,2024-10-08T20:00:00Z,Lotto,1,14,18,24,35,45
7101,2024-10-05T20:00:00Z,Lotto,3,15,17,22,29,48
7100,2024-10-03T20:00:00Z,Lotto,13,14,23,36,43,48
7099,2024-10-01T20:00:00Z,Lotto,3,6,20,39,44,45
7098,2024-09-28T20:00:00Z,Lotto,8,12,23,25,26,47
7097,2024-09-26T20:00:00Z,Lotto,1,2,19,29,33,41
7096,2024-09-24T20:00:00Z,Lotto,1,2,14,26,30,49
7095,2024-09-21T20:00:00Z,Lotto,4,5,12,24,36,39
7094,2024-09-19T20:00:00Z,Lotto,2,6,10,18,21,22
7093,2024-09-17T20:00:00Z,Lotto,4,5,6,12,16,45
7092,2024-09-14T20:00:00Z,Lotto,5,11,20,29,35,44
7091,2024-09-12T20:00:00Z,Lotto,16,23,27,32,33,37
7090,2024-09-10T20:00:00Z,Lotto,2,10,17,26,32,37
7089,2024-09-07T20:00:00Z,Lotto,8,21,23,30,31,43
7088,2024-09-05T20:00:00Z,Lotto,2,4,21,32,40,49
7087,2024-09-03T20:00:00Z,Lotto,3,11,19,21,27,44
7086,2024-08-31T20:00:00Z,Lotto,12,14,18,30,34,38
7085,2024-08-29T20:00:00Z,Lotto,2,13,17,23,32,41
7084,2024-08-27T20:00:00Z,Lotto,3,15,27,34,45,46
7083,2024-08-24T20:00:00Z,Lotto,1,6,12,36,37,49
7082,2024-08-22T20:00:00Z,Lotto,2,3,8,12,17,21
7081,2024-08-20T20:00:00Z,Lotto,2,17,26,27,32,40
7080,2024-08-17T20:00:00Z,Lotto,13,16,22,30,38,44
7079,2024-08-15T20:00:00Z,Lotto,9,17,21,33,35,37
7078,2024-08-13T20:00:00Z,Lotto,1,13,35,36,41,47
7077,2024-08-10T20:00:00Z,Lotto,1,17,32,39,42,43
7076,2024-08-08T20:00:00Z,Lotto,21,26,36,39,45,49
7075,2024-08-06T20:00:00Z,Lotto,3,6,18,25,29,41
7074,2024-08-03T20:00:00Z,Lotto,5,7,13,25,29,48
7073,2024-08-01T20:00:00Z,Lotto,2,6,13,18,20,47
7072,2024-07-30T20:00:00Z,Lotto,16,21,31,32,36,45
7071,2024-07-27T20:00:00Z,Lotto,1,2,9,13,18,28
7070,2024-07-25T20:00:00Z,Lotto,8,11,19,21,28,35
7069,2024-07-23T20:00:00Z,Lotto,11,18,19,27,30,39
7068,2024-07-20T20:00:00Z,Lotto,5,7,20,23,28,42
7067,2024-07-18T20:00:00Z,Lotto,14,16,18,23,34,40
7066,2024-07-16T20:00:00Z,Lotto,7,13,17,20,35,43
7065,2024-07-13T20:00:00Z,Lotto,1,4,5,26,40,46
7064,2024-07-11T20:00:00Z,Lotto,4,16,17,19,33,41
7063,2024-07-09T20:00:00Z,Lotto,10,11,23,27,32,36
7062,2024-07-06T20:00:00Z,Lotto,2,12,31,39,41,43
7061,2024-07-04T20:00:00Z,Lotto,8,12,14,16,21,49
7060,2024-07-02T20:00:00Z,Lotto,4,12,20,23,24,49
7059,2024-06-29T20:00:00Z,Lotto,8,13,22,34,40,47
7058,2024-06-27T20:00:00Z,Lotto,1,3,20,22,26,27
7057,2024-06-25T20:00:00Z,Lotto,7,9,21,23,34,38
7056,2024-06-22T20:00:00Z,Lotto,13,30,33,42,47,48
7055,2024-06-20T20:00:00Z,Lotto,4,12,13,14,22,32
7054,2024-06-18T20:00:00Z,Lotto,6,7,8,12,17,21
7053,2024-06-15T20:00:00Z,Lotto,2,18,20,21,47,49
7052,2024-06-13T20:00:00Z,Lotto,3,11,14,17,30,48
7051,2024-06-11T20:00:00Z,Lotto,1,10,40,46,48,49
7050,2024-06-08T20:00:00Z,Lotto,17,21,28,32,41,43
7049,2024-06-06T20:00:00Z,Lotto,2,7,18,34,42,43
7048,2024-06-04T20:00:00Z,Lotto,1,21,24,31,34,40
7047,2024-06-01T20:00:00Z,Lotto,2,6,20,37,38,48
7046,2024-05-30T20:00:00Z,Lotto,8,13,23,27,38,44
7045,2024-05-28T20:00:00Z,Lotto,11,29,34,35,38,45
7044,2024-05-25T20:00:00Z,Lotto,28,33,39,42,47,49
7043,2024-05-23T20:00:00Z,Lotto,8,13,17,23,24,28
7042,2024-05-21T20:00:00Z,Lotto,5,20,30,31,35,43
7041,2024-05-18T20:00:00Z,Lotto,7,18,32,33,39,44
7040,2024-05-16T20:00:00Z,Lotto,10,11,17,25,32,47
7039,2024-05-14T20:00:00Z,Lotto,4,7,9,32,33,46
7038,2024-05-11T20:00:00Z,Lotto,9,11,16,33,38,43
7037,2024-05-09T20:00:00Z,Lotto,7,25,30,31,42,46
7036,2024-05-07T20:00:00Z,Lotto,2,11,18,33,37,46
7035,2024-05-04T20:00:00Z,Lotto,18,40,42,43,45,49
7034,2024-05-02T20:00:00Z,Lotto,1,2,12,15,38,44
7033,2024-04-30T20:00:00Z,Lotto,6,21,27,29,40,48
7032,2024-04-27T20:00:00Z,Lotto,12,18,22,23,28,33
7031,2024-04-25T20:00:00Z,Lotto,27,30,35,42,47,48
7030,2024-04-23T20:00:00Z,Lotto,15,24,34,37,39,49
7029,2024-04-20T20:00:00Z,Lotto,2,4,27,29,43,47
7028,2024-04-18T20:00:00Z,Lotto,2,3,10,36,38,42
7027,2024-04-16T20:00:00Z,Lotto,2,6,25,26,30,42
7026,2024-04-13T20:00:00Z,Lotto,7,11,13,16,25,49
7025,2024-04-11T20:00:00Z,Lotto,2,5,7,18,23,32
7024,2024-04-09T20:00:00Z,Lotto,2,6,25,29,31,44
7023,2024-04-06T20:00:00Z,Lotto,19,29,39,45,47,49
7022,2024-04-04T20:00:00Z,Lotto,2,6,13,27,35,44
7021,2024-04-02T20:00:00Z,Lotto,10,11,12,15,34,49
7020,2024-03-30T21:00:00Z,Lotto,2,6,15,38,43,49
7019,2024-03-28T21:00:00Z,Lotto,3,5,27,30,38,43
7018,2024-03-26T21:00:00Z,Lotto,17,19,23,24,26,32
7017,2024-03-23T21:00:00Z,Lotto,2,9,12,17,26,30
7016,2024-03-21T21:00:00Z,Lotto,13,14,24,26,29,49
7015,2024-03-19T21:00:00Z,Lotto,4,12,31,39,41,48
7014,2024-03-16T21:00:00Z,Lotto,10,21,23,24,28,49
7013,2024-03-14T21:00:00Z,Lotto,2,5,16,42,43,45
7012,2024-03-12T21:00:00Z,Lotto,12,17,25,28,42,47
7011,2024-03-09T21:00:00Z,Lotto,4,7,28,29,46,48
7010,2024-03-07T21:00:00Z,Lotto,13,16,26,30,46,49
7009,2024-03-05T21:00:00Z,Lotto,4,7,9,22,36,49
7008,2024-03-02T21:00:00Z,Lotto,2,13,16,22,36,37
7007,2024-02-29T21:00:00Z,Lotto,12,15,17,34,39,46
7006,2024-02-27T21:00:00Z,Lotto,4,11,12,34,37,41
7005,2024-02-24T21:00:00Z,Lotto,4,10,13,21,22,49
7004,2024-02-22T21:00:00Z,Lotto,1,16,18,21,46,47
7003,2024-02-20T21:00:00Z,Lotto,7,10,14,27,41,45
7002,2024-02-17T21:00:00Z,Lotto,6,7,11,19,20,47
7001,2024-02-15T21:00:00Z,Lotto,1,7,9,17,19,49
7000,2024-02-13T21:00:00Z,Lotto,1,8,36,37,42,48
6999,2024-02-10T21:00:00Z,Lotto,11,18,20,26,37,47
6998,2024-02-08T21:00:00Z,Lotto,11,14,15,20,39,46
6997,2024-02-06T21:00:00Z,Lotto,4,18,34,40,44,45
6996,2024-02-03T21:00:00Z,Lotto,2,6,12,18,38,40
6995,2024-02-01T21:00:00Z,Lotto,22,32,36,41,43,48
6994,2024-01-30T21:00:00Z,Lotto,6,7,32,40,43,49
6993,2024-01-27T21:00:00Z,Lotto,5,10,17,41,44,48
6992,2024-01-25T21:00:00Z,Lotto,1,2,13,30,37,47
6991,2024-01-23T21:00:00Z,Lotto,12,15,21,23,26,41
6990,2024-01-20T21:00:00Z,Lotto,9,22,29,38,43,44
6989,2024-01-18T21:00:00Z,Lotto,3,18,19,20,27,28
6988,2024-01-16T21:00:00Z,Lotto,2,5,14,22,23,29
6987,2024-01-13T21:00:00Z,Lotto,7,24,29,36,44,46
6986,2024-01-11T21:00:00Z,Lotto,2,13,17,26,34,38
6985,2024-01-09T21:00:00Z,Lotto,4,19,20,23,28,48
6984,2024-01-06T21:00:00Z,Lotto,2,5,8,9,30,42
6983,2024-01-04T21:00:00Z,Lotto,10,25,26,28,44,46
6982,2024-01-02T21:00:00Z,Lotto,15,18,28,30,37,49
6981,2023-12-30T21:00:00Z,Lotto,8,21,24,32,37,44
6980,2023-12-28T21:00:00Z,Lotto,5,27,29,33,40,44
6979,2023-12-26T21:00:00Z,Lotto,2,13,17,36,45,49
6978,2023-12-23T21:00:00Z,Lotto,4,11,15,21,36,41
6977,2023-12-21T21:00:00Z,Lotto,5,10,14,19,29,30
6976,2023-12-19T21:00:00Z,Lotto,12,16,28,31,35,47
6975,2023-12-16T21:00:00Z,Lotto,6,7,22,28,29,46
6974,2023-12-14T21:00:00Z,Lotto,4,15,21,24,37,48
6973,2023-12-12T21:00:00Z,Lotto,13,15,21,24,38,45
6972,2023-12-09T21:00:00Z,Lotto,14,21,35,37,45,49
6971,2023-12-07T21:00:00Z,Lotto,4,14,15,23,28,44
6970,2023-12-05T21:00:00Z,Lotto,4,14,25,28,37,44
6969,2023-12-02T21:00:00Z,Lotto,1,3,4,19,23,40
6968,2023-11-30T21:00:00Z,Lotto,15,16,20,21,24,37
6967,2023-11-28T21:00:00Z,Lotto,12,21,26,40,44,47
6966,2023-11-25T21:00:00Z,Lotto,9,15,25,28,38,44
6965,2023-11-23T21:00:00Z,Lotto,3,4,14,28,31,42
6964,2023-11-21T21:00:00Z,Lotto,2,17,32,39,47,49
6963,2023-11-18T21:00:00Z,Lotto,14,20,26,34,38,46
6962,2023-11-16T21:00:00Z,Lotto,4,16,24,29,30,32
6961,2023-11-14T21:00:00Z,Lotto,4,10,13,36,43,47
6960,2023-11-11T21:00:00Z,Lotto,10,14,22,27,30,32
6959,2023-11-09T21:00:00Z,Lotto,4,7,24,35,36,47
6958,2023-11-07T21:00:00Z,Lotto,5,8,22,23,37,44
6957,2023-11-04T21:00:00Z,Lotto,2,9,17,29,36,48
6956,2023-11-02T21:00:00Z,Lotto,5,7,15,17,31,49
6955,2023-10-31T21:00:00Z,Lotto,26,28,33,41,43,47
6954,2023-10-28T20:00:00Z,Lotto,7,8,24,30,38,47
6953,2023-10-26T20:00:00Z,Lotto,4,5,18,25,31,38
6952,2023-10-24T20:00:00Z,Lotto,3,19,27,28,36,43
6951,2023-10-21T20:00:00Z,Lotto,5,13,17,36,39,47
6950,2023-10-19T20:00:00Z,Lotto,6,30,38,46,48,49
6949,2023-10-17T20:00:00Z,Lotto,5,15,33,39,40,42
6948,2023-10-14T20:00:00Z,Lotto,9,19,37,41,46,47
6947,2023-10-12T20:00:00Z,Lotto,9,16,17,18,27,41
6946,2023-10-10T20:00:00Z,Lotto,2,10,17,22,28,42
6945,2023-10-07T20:00:00Z,Lotto,13,17,31,37,44,49
6944,2023-10-05T20:00:00Z,Lotto,17,18,31,36,43,49
6943,2023-10-03T20:00:00Z,Lotto,1,8,9,12,37,49
6942,2023-09-30T20:00:00Z,Lotto,25,27,28,32,33,48
6941,2023-09-28T20:00:00Z,Lotto,1,5,9,23,34,44
6940,2023-09-26T20:00:00Z,Lotto,5,7,20,29,33,46
6939,2023-09-23T20:00:00Z,Lotto,7,9,21,32,39,46
6938,2023-09-21T20:00:00Z,Lotto,13,14,33,36,37,49
6937,2023-09-19T20:00:00Z,Lotto,2,6,12,33,36,47
6936,2023-09-16T20:00:00Z,Lotto,14,31,33,34,41,42
6935,2023-09-14T20:00:00Z,Lotto,7,11,20,25,30,46
6934,2023-09-12T20:00:00Z,Lotto,8,25,41,43,46,48
6933,2023-09-09T20:00:00Z,Lotto,4,17,20,35,36,38
6932,2023-09-07T20:00:00Z,Lotto,17,30,31,32,36,39
6931,2023-09-05T20:00:00Z,Lotto,2,7,9,24,27,30
6930,2023-09-02T20:00:00Z,Lotto,1,5,11,26,36,44
